claim_id,claim,status,source_type,source_ref,owner,last_verified,usage_scope,notes
product-category,BlokSec is a passwordless authentication platform,approved_external,internal+public,"PRODUCT.md; current product pages",marketing,2026-03-19,homepage+deck+partner,Keep wording close to product truth
workforce-coverage,BlokSec supports both office workers and frontline/shared-device workers,approved_external,internal+public,"PRODUCT_CONTEXT.md; March 2026 audit; product pages",marketing,2026-03-19,homepage+industry+partner,Core positioning claim
blokkey-blokbadge,BlokKey fits workers with phones and BlokBadge fits workers without phones or on shared devices,approved_external,public,"product pages; March 2026 audit",marketing,2026-03-19,homepage+demo+partner,Strong explainer claim
reset-burden,BlokSec reduces password-reset burden,approved_with_qualifier,internal+public,"PRODUCT_CONTEXT.md; source-hygiene doc",marketing,2026-03-19,homepage+industry,Use qualitative language only unless quantified proof exists
accountability,BlokSec improves accountability on shared devices and workstations,approved_with_qualifier,internal+public,"PRODUCT_CONTEXT.md; March 2026 audit",marketing,2026-03-19,homepage+industry+partner,Do not equate directly to compliance certification
v4-maturity,BlokSec has a visible v4.0 story with improved admin tooling reporting onboarding and docs,approved_external,public,"release notes; product pages; March 2026 audit",marketing,2026-03-19,proof+partner+deck,Good proof section material
identity-stack-fit,BlokSec complements existing identity environments rather than requiring rip-and-replace,approved_with_qualifier,internal+public,"PRODUCT_CONTEXT.md; verify exact stack docs",marketing,2026-03-19,homepage+sales,Verify named platforms before listing them
documented-stack-fit,BlokSec can be positioned alongside Microsoft environments Google Workspace and Okta,approved_with_qualifier,public,"public docs search; Microsoft Learn B2C partner doc; product pages",marketing,2026-03-19,site+deck+partner,Use careful wording and avoid claiming identical depth for every provider
ping-specific,BlokSec works with Ping Identity,needs_verification,public,"provider-specific public proof not yet confirmed",marketing,,site+deck+partner,Do not name Ping in public-facing copy yet
quantified-roi,BlokSec cuts reset tickets by X percent or saves Y dollars,needs_verification,case-study,"customer proof required",marketing,,site+deck+partner,No quantified claim until sourced
universal-fit,BlokSec solves passwordless access for every workforce and every device model,do_not_use_yet,none,"PRODUCT_CONTEXT.md",marketing,,none,Too broad and easy to challenge
weak-market-stats,Use unsupported market-size or adoption stats from older research,do_not_use_yet,legacy,"source-hygiene doc",marketing,,none,Replace with stronger sources or qualitative framing
